Trade_Date,ISIN,PX_Bid,PX_Mid,PX_Ask
2020-01-02,RU000A0JWHA4,111.465,111.6075,111.75
2020-01-02,RU000A0JXTS9,108.969,109.24675,109.5245
2020-01-02,RU000A0JXU14,125.09,125.29,125.49
2020-01-02,RU000A0ZYYN4,110.7885,111.042747,111.297
2020-01-02,RU000A1006S9,119.357,119.649246,119.9415
2020-01-02,US035198AD29,107.8105,108.168747,108.527
2020-01-02,US035198AE02,108.3225,108.685753,109.049
2020-01-02,US03846JX212,105.1875,105.502747,105.818
2020-01-02,US040114GK09,46.695,47.0835,47.472
2020-01-02,US040114GL81,60.609,61.3975,62.186
2020-01-02,US040114GX20,50.2435,50.66875,51.094
2020-01-02,US040114GY03,48.534,48.9985,49.463
2020-01-02,US040114HF05,46.167,46.5855,47.004
2020-01-02,US040114HG87,46.502,46.98,47.458
2020-01-02,US040114HK99,50.1665,50.56175,50.957
2020-01-02,US040114HL72,48.237,48.73575,49.2345
2020-01-02,US040114HN39,48.383,48.80225,49.2215
2020-01-02,US040114HP86,48.717,49.212,49.707
2020-01-02,US040114HQ69,45.737,46.15,46.563
2020-01-02,US040114HR43,46.219,46.638,47.057
2020-01-02,US105756AR10,126.573,126.9225,127.272
2020-01-02,US105756BB58,137.84,138.263,138.686
2020-01-02,US105756BK57,128.32,128.699,129.078
2020-01-02,US105756BR01,112.077,112.3595,112.642
2020-01-02,US105756BU30,99.981,100.1335,100.286
2020-01-02,US105756BV13,106.45,106.6225,106.795
2020-01-02,US105756BW95,104.12,104.356,104.592
2020-01-02,US105756BX78,116.691,116.8335,116.976
2020-01-02,US105756BY51,113.149,113.4175,113.686
2020-01-02,US105756BZ27,107.53,107.7,107.87
2020-01-02,US105756CA66,106.0865,106.3015,106.5165
2020-01-02,US105756CB40,99.1355,99.42225,99.709
2020-01-02,US12482TAA60,104.7205,105.0355,105.3505
2020-01-02,US168863CE60,111.184,111.482,111.78
2020-01-02,US168863CF36,105.217,105.4065,105.596
2020-01-02,US168863DL94,104.418,104.717751,105.0175
2020-01-02,US195325BD67,123.054,123.312,123.57
2020-01-02,US195325BK01,142.204,142.505,142.806
2020-01-02,US195325BM66,129.48,129.8045,130.129
2020-01-02,US195325BQ70,105.391,105.5665,105.742
2020-01-02,US195325BR53,124.337,124.6555,124.974
2020-01-02,US195325CU73,116.298,116.5785,116.859
2020-01-02,US195325CX13,108.969,109.157,109.345
2020-01-02,US195325DL65,105.882,106.0365,106.191
2020-01-02,US195325DP79,110.8345,111.087753,111.341
2020-01-02,US195325DQ52,120.415,120.681,120.947
2020-01-02,US21987BAZ13,99.116,99.37775,99.6395
2020-01-02,US21987BBA52,96.848,97.37875,97.9095
2020-01-02,US221597CP00,107.158,107.432,107.706
2020-01-02,US29135LAF76,97.295,97.59425,97.8935
2020-01-02,US30216KAA07,101.6935,101.901749,102.11
2020-01-02,US30216KAC62,104.5215,104.806,105.0905
2020-01-02,US401494AR02,118.127335,118.534164,118.941
2020-01-02,US445545AF36,164.46,165.065,165.67
2020-01-02,US445545AH91,109.615,109.88,110.145
2020-01-02,US445545AJ57,112.785,113.0525,113.32
2020-01-02,US445545AL04,112.785,113.0525,113.32
2020-01-02,US455780CC89,101.588,101.774246,101.9605
2020-01-02,US455780CD62,104.298,104.526,104.754
2020-01-02,US455780CE46,109.782,110.124748,110.4675
2020-01-02,US455780CF11,108.351,108.616,108.881
2020-01-02,US455780CH76,114.2735,114.519249,114.765
2020-01-02,US455780CJ33,128.4465,128.826248,129.206
2020-01-02,US455780CN45,102.437,102.76075,103.0845
2020-01-02,US470160AV46,136.137,136.503754,136.8705
2020-01-02,US470160CA80,118.584,118.9955,119.407
2020-01-02,US470160CB63,135.172,135.645,136.118
2020-01-02,US48266XAD75,100.1605,100.3715,100.5825
2020-01-02,US55276VAH50,100.144,100.3865,100.629
2020-01-02,US55276VAJ17,100.781,101.125748,101.4705
2020-01-02,US55276VAK89,103.922,104.282249,104.6425
2020-01-02,US60937GAB23,102.188,102.569252,102.9505
2020-01-02,US67778NAA63,115.2015,115.7485,116.2955
2020-01-02,US69370RAA59,128.4775,128.829254,129.181
2020-01-02,US698299AW45,140.199,140.4515,140.704
2020-01-02,US698299BB98,116.583,116.904,117.225
2020-01-02,US698299BD54,106.965,107.1255,107.286
2020-01-02,US698299BE38,106.248,106.4135,106.579
2020-01-02,US698299BF03,108.784,108.976,109.168
2020-01-02,US698299BG85,118.8465,119.224251,119.602
2020-01-02,US698299BH68,118.466,118.8205,119.175
2020-01-02,US698299BK97,103.0765,103.299248,103.522
2020-01-02,US706451BG56,102.5205,102.9005,103.2805
2020-01-02,US715638AP79,164.599,164.989,165.379
2020-01-02,US715638AS19,126.164,126.386,126.608
2020-01-02,US715638AU64,146.104,146.449,146.794
2020-01-02,US715638BM30,146.104,146.446,146.788
2020-01-02,US715638BU55,112.119,112.3235,112.528
2020-01-02,US71567RAA41,102.4055,102.639252,102.873
2020-01-02,US71567RAC07,107.794,108.047752,108.3015
2020-01-02,US71567RAD89,108.0435,108.313248,108.583
2020-01-02,US71567RAF38,109.342,109.642754,109.9435
2020-01-02,US71567RAG11,102.271,102.507248,102.7435
2020-01-02,US71567RAH93,107.345,107.62925,107.9135
2020-01-02,US71567RAJ59,103.9825,104.220253,104.458
2020-01-02,US71567RAK23,109.2675,109.553749,109.84
2020-01-02,US71567RAM88,110.312,110.568748,110.8255
2020-01-02,US71568QAB32,111.894,112.25425,112.6145
2020-01-02,US71568QAC15,105.326,105.614,105.902
2020-01-02,US71568QAE70,115.1325,115.411,115.6895
2020-01-02,US71568QAF46,126.054,126.449753,126.8455
2020-01-02,US71654QAZ54,99.365,99.73025,100.0955
2020-01-02,US71654QBE17,89.669,90.07475,90.4805
2020-01-02,US71654QBG64,100.6365,100.89975,101.163
2020-01-02,US71654QBH48,104.996,105.297249,105.5985
2020-01-02,US71654QBR20,97.027,97.37575,97.7245
2020-01-02,US71654QBW15,99.592,99.942,100.292
2020-01-02,US71654QBX97,89.9395,90.375,90.8105
2020-01-02,US71654QCB68,109.931,110.2065,110.482
2020-01-02,US71654QCC42,100.7185,101.0555,101.3925
2020-01-02,US71654QCD25,104.4785,104.7715,105.0645
2020-01-02,US71654QCG55,106.0505,106.3095,106.5685
2020-01-02,US71654QCK67,99.44,99.67425,99.9085
2020-01-02,US71654QCL41,96.78,97.09675,97.4135
2020-01-02,US71654QCP54,105.125,105.38475,105.6445
2020-01-02,US718286AP29,141.196,141.491,141.786
2020-01-02,US718286AY36,159.4175,159.8065,160.1955
2020-01-02,US718286BB24,147.745,148.111252,148.4775
2020-01-02,US718286BD89,136.0385,136.385,136.7315
2020-01-02,US718286BG11,141.8205,142.211,142.6015
2020-01-02,US718286BN61,118.253,118.608,118.963
2020-01-02,US718286BW60,127.5585,127.968246,128.378
2020-01-02,US718286BY27,107.6305,107.973251,108.316
2020-01-02,US718286BZ91,114.4305,114.826752,115.223
2020-01-02,US718286CA32,113.0475,113.4315,113.8155
2020-01-02,US718286CB15,113.0495,113.430748,113.812
2020-01-02,US718286CC97,103.807,104.097252,104.3875
2020-01-02,US718286CG02,110.2505,110.527252,110.804
2020-01-02,US731011AT95,102.875,103.1975,103.52
2020-01-02,US731011AU68,105.85,106.1775,106.505
2020-01-02,US760942AS16,148.25,148.4665,148.683
2020-01-02,US760942AZ58,108.1,108.3175,108.535
2020-01-02,US760942BA98,120.796,120.8475,120.899
2020-01-02,US760942BB71,110.378,110.5485,110.719
2020-01-02,US760942BD38,118.33,118.3935,118.457
2020-01-02,US77586TAA43,109.27,109.5275,109.785
2020-01-02,US77586TAC09,106.625,106.9,107.175
2020-01-02,US77586TAD81,109.75,110.025,110.3
2020-01-02,US77586TAE64,129.545,130.1275,130.71
2020-01-02,US836205AL88,106.98,107.1275,107.275
2020-01-02,US836205AQ75,104.545,104.7525,104.96
2020-01-02,US836205AR58,110.17,110.3775,110.585
2020-01-02,US836205AS32,95.675,96,96.325
