Trade_Date,ISIN,Security_Des,PX_Bid
2020-01-02,RU000A0JWHA4,RUSSIA 4 3/4 05/27/26,111.59
2020-01-02,RU000A0JXTS9,RUSSIA 4 1/4 06/23/27,109
2020-01-02,RU000A0JXU14,RUSSIA 5 1/4 06/23/47,125.41
2020-01-02,RU000A0ZYYN4,RUSSIA 4 3/8 03/21/29,110.75
2020-01-02,RU000A1006S9,RUSSIA 5.1 03/28/35,119.5
2020-01-02,US035198AD29,ANGOL 8 11/26/29,107.75
2020-01-02,US035198AE02,ANGOL 9 1/8 11/26/49,107.97
2020-01-02,US03846JX212,EGYPT 7.0529 01/15/32,105.19
2020-01-02,US040114GK09,ARGENT 3 3/4 12/31/38,46.69
2020-01-02,US040114GL81,ARGENT 8.28 12/31/33,60.75
2020-01-02,US040114GX20,ARGENT 7 1/2 04/22/26,50.19
2020-01-02,US040114GY03,ARGENT 7 5/8 04/22/46,48.5
2020-01-02,US040114HF05,ARGENT 6 5/8 07/06/28,46.84
2020-01-02,US040114HG87,ARGENT 7 1/8 07/06/36,46.59
2020-01-02,US040114HK99,ARGENT 5 5/8 01/26/22,50.19
2020-01-02,US040114HL72,ARGENT 6 7/8 01/26/27,48.28
2020-01-02,US040114HN39,ARGENT 7 1/8 06/28/17,48.31
2020-01-02,US040114HP86,ARGENT 4 5/8 01/11/23,48.91
2020-01-02,US040114HQ69,ARGENT 5 7/8 01/11/28,46.16
2020-01-02,US040114HR43,ARGENT 6 7/8 01/11/48,46.47
2020-01-02,US105756AR10,BRAZIL 8 7/8 04/15/24,126.66
2020-01-02,US105756BB58,BRAZIL 8 1/4 01/20/34,138.13
2020-01-02,US105756BK57,BRAZIL 7 1/8 01/20/37,128.19
2020-01-02,US105756BR01,BRAZIL 5 5/8 01/07/41,112.19
2020-01-02,US105756BU30,BRAZIL 2 5/8 01/05/23,100.25
2020-01-02,US105756BV13,BRAZIL 4 1/4 01/07/25,106.44
2020-01-02,US105756BW95,BRAZIL 5 01/27/45,104.13
2020-01-02,US105756BX78,BRAZIL 6 04/07/26,116.69
2020-01-02,US105756BY51,BRAZIL 5 5/8 02/21/47,113.13
2020-01-02,US105756BZ27,BRAZIL 4 5/8 01/13/28,107.81
2020-01-02,US105756CA66,BRAZIL 4 1/2 05/30/29,106.34
2020-01-02,US105756CB40,BRAZIL 4 3/4 01/14/50,99.25
2020-01-02,US12482TAA60,BHRAIN 4 1/2 03/30/27,104.75
2020-01-02,US168863CE60,CHILE 3.86 06/21/47,111.16
2020-01-02,US168863CF36,CHILE 3.24 02/06/28,105.41
2020-01-02,US168863DL94,CHILE 3 1/2 01/25/50,104.34
2020-01-02,US195325BD67,COLOM 8 1/8 05/21/24,123.16
2020-01-02,US195325BK01,COLOM 7 3/8 09/18/37,142.22
