Trade_Date,ISIN,PX_Bid,PX_Mid,PX_Ask
2020-01-30,RU000A0JWHA4,112.75,112.9246,113.0992
2020-01-30,RU000A0JXTS9,110.2638,110.4395,110.6152
2020-01-30,RU000A0JXU14,129.748,129.874,130
2020-01-30,RU000A0ZYYN4,112.3664,112.5135,112.6606
2020-01-30,RU000A1006S9,121.591,121.7955,122
2020-01-30,US035198AD29,105.321,105.5984,105.8758
2020-01-30,US035198AE02,105.06,105.3575,105.655
2020-01-30,US03846JX212,106.436,106.788,107.14
2020-01-30,US040114GK09,42.101,42.4445,42.788
2020-01-30,US040114GL81,55.651,55.97315,56.2953
2020-01-30,US040114GX20,46.001,46.28575,46.5705
2020-01-30,US040114GY03,43.151,43.4945,43.838
2020-01-30,US040114HF05,44.7,44.98475,45.2695
2020-01-30,US040114HG87,43.751,44.0945,44.438
2020-01-30,US040114HK99,49.551,49.8322,50.1134
2020-01-30,US040114HL72,45.251,45.53575,45.8205
2020-01-30,US040114HN39,43.751,44.0945,44.438
2020-01-30,US040114HP86,46.101,46.3925,46.684
2020-01-30,US040114HQ69,44.151,44.43575,44.7205
2020-01-30,US040114HR43,42.751,43.0945,43.438
2020-01-30,US105756AR10,126.625,126.9165,127.208
2020-01-30,US105756BB58,141.251,141.535751,141.8205
2020-01-30,US105756BK57,131.401,131.7445,132.088
2020-01-30,US105756BR01,115.501,115.8445,116.188
2020-01-30,US105756BU30,101.125,101.325,101.525
2020-01-30,US105756BV13,108,108.125,108.25
2020-01-30,US105756BW95,107.251,107.5945,107.938
2020-01-30,US105756BX78,118.301,118.451,118.601
2020-01-30,US105756BY51,116.376,116.7195,117.063
2020-01-30,US105756BZ27,110.251,110.426,110.601
2020-01-30,US105756CA66,108,108.125,108.25
2020-01-30,US105756CB40,102.75,103,103.25
2020-01-30,US12482TAA60,103.4688,103.6609,103.853
2020-01-30,US168863CE60,114.642,114.9855,115.329
2020-01-30,US168863CF36,107,107.1875,107.375
2020-01-30,US168863DL94,108.101,108.301,108.501
2020-01-30,US195325BD67,123.793,124.0845,124.376
2020-01-30,US195325BK01,146.126,146.4695,146.813
2020-01-30,US195325BM66,133.982,134.3255,134.669
2020-01-30,US195325BQ70,106.126,106.251,106.376
2020-01-30,US195325BR53,128.25,128.5935,128.937
2020-01-30,US195325CU73,120.1,120.4435,120.787
2020-01-30,US195325CX13,110.134,110.3215,110.509
2020-01-30,US195325DL65,107.301,107.585747,107.8705
2020-01-30,US195325DP79,112.53,112.814751,113.0995
2020-01-30,US195325DQ52,124.25,124.5935,124.937
2020-01-30,US195325DR36,100.35,100.5,100.65
2020-01-30,US21987BAZ13,100.861031,101.0669,101.273254
2020-01-30,US21987BBA52,99.489,99.75801,100.028008
2020-01-30,US21987BBB36,101.484,101.695305,101.907112
2020-01-30,US221597CP00,106.25,106.4,106.55
2020-01-30,US25714PED69,99.651,99.801,99.951
2020-01-30,US25714PEE43,99.6,99.85,100.1
2020-01-30,US29135LAF76,99.7312,99.9658,100.2004
2020-01-30,US30216JAE55,100.3458,100.5958,100.8458
2020-01-30,US30216KAA07,103.128906,103.3394,103.549904
2020-01-30,US30216KAC62,106.0415,106.261,106.4805
2020-01-30,US445545AF36,167.975,168.4345,168.894
